,group,subj,block,freezing
1,CTRL,C1,1,13.6211563
2,CTRL,C1,2,38.1542
3,CTRL,C2,1,12.069309
4,CTRL,C2,2,99.794087
5,CTRL,C3,1,24.3753503
6,CTRL,C3,2,42.191039
7,CTRL,C4,1,0.5308052
8,CTRL,C4,2,66.943694
9,CTRL,C5,1,23.6263314
10,CTRL,C5,2,13.357381
11,CTRL,C6,1,23.2612202
12,CTRL,C6,2,92.595063
13,CTRL,C7,1,22.3290158
14,CTRL,C7,2,39.994874
15,CTRL,C8,1,0
16,CTRL,C8,2,38.98227
17,CTRL,C9,1,13.1538551
18,CTRL,C9,2,7.904759
19,CTRL,C10,1,4.4324468
20,CTRL,C10,2,37.268628
21,FLX,F1,1,26.255055
22,FLX,F1,2,77.33468
23,FLX,F2,1,16.86119
24,FLX,F2,2,59.49465
25,FLX,F3,1,13.38997
26,FLX,F3,2,129.55968
27,FLX,F4,1,10.418825
28,FLX,F4,2,72.92794
29,FLX,F5,1,2.901821
30,FLX,F5,2,101.82189
31,FLX,F6,1,27.404666
32,FLX,F6,2,137.18765
33,FLX,F7,1,0
34,FLX,F7,2,86.74933
35,FLX,F8,1,26.013787
36,FLX,F8,2,165.10373
37,FLX,F9,1,8.44937
38,FLX,F9,2,115.17007
39,FLX,F10,1,20.9497923
40,FLX,F10,2,122.08785
41,MET,M1,1,0
42,MET,M1,2,29.570324
43,MET,M2,1,13.8777883
44,MET,M2,2,41.515288
45,MET,M3,1,28.5534773
46,MET,M3,2,11.399409
47,MET,M4,1,0
48,MET,M4,2,0
49,MET,M5,1,0
50,MET,M5,2,4.585818
51,MET,M6,1,0
52,MET,M6,2,0
53,MET,M7,1,9.8964454
54,MET,M7,2,12.132268
55,MET,M8,1,5.6374592
56,MET,M8,2,20.80857
57,MET,M9,1,2.7564067
58,MET,M9,2,10.519754
59,MET,M10,1,20.4997913
60,MET,M10,2,10.946142
